Name,Price,Location,Mileage,URL
2004 Infiniti g35,"$5,500","Highland Falls, NY",134K miles,https://www.facebook.com/marketplace/item/2164800820551842/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda accord EX-L Coupe 2D,"$3,799","Roselle, NJ",N/A,https://www.facebook.com/marketplace/item/1176904163680673/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic EX-L Sedan 4D,"$5,800","Beltsville, MD",165K miles,https://www.facebook.com/marketplace/item/3633619900245283/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda civic Hybrid Sedan 4D,"$4,000","New York, NY",128K miles,https://www.facebook.com/marketplace/item/1340040350009070/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Mazda mazda6 i Touring Sedan 4D,"$6,900","Paterson, NJ",153K miles,https://www.facebook.com/marketplace/item/1092634142002310/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic lx,"$5,950","Parsippany, NJ",152K miles,https://www.facebook.com/marketplace/item/1552539769024293/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Honda civic EX Coupe 2D,"$5,500","Central Islip, NY",159K miles,https://www.facebook.com/marketplace/item/3823356544564567/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Infiniti g37x,"$5,700","New York, NY",81K miles,https://www.facebook.com/marketplace/item/332974342834485/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Toyota camry SE Sedan 4D,"$5,999","Brooklyn, NY",125K miles,https://www.facebook.com/marketplace/item/243126875533140/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Hyundai tiburon GT Coupe 2D,"$5,500","Englewood, NJ",N/A,https://www.facebook.com/marketplace/item/276835505482905/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Honda civic EX Coupe 2D,"$3,800","Brooklyn, NY",126K miles,https://www.facebook.com/marketplace/item/1613130746154854/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic EX Sedan 4D,"$5,980","Peekskill, NY",141K miles,https://www.facebook.com/marketplace/item/410621285004545/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda Civic,"$3,500","New Rochelle, NY",144K miles,https://www.facebook.com/marketplace/item/2408800482649738/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic EX Sedan 4D,"$5,500","Stamford, CT",149K miles,https://www.facebook.com/marketplace/item/809303987337047/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Honda accord,"$2,100","Paterson, NJ",105K miles,https://www.facebook.com/marketplace/item/1131536324938200/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic EX Sedan 4D,"$6,000","Ridgewood, NY",83K miles,https://www.facebook.com/marketplace/item/954597806015625/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Honda cr-z Coupe 2D,"$5,450","Elizabeth, NJ",78K miles,https://www.facebook.com/marketplace/item/1123575265628612/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
